#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
10.0,Caterpie,Bug,,195.0,45.0,30.0,35.0,20.0,20.0,45.0,1.0,False
11.0,Metapod,Bug,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,1.0,False
12.0,Butterfree,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,1.0,False
13.0,Weedle,Bug,Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0,1.0,False
14.0,Kakuna,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,1.0,False
15.0,Beedrill,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,1.0,False
46.0,Paras,Bug,Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0,1.0,False
47.0,Parasect,Bug,Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0,1.0,False
48.0,Venonat,Bug,Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0,1.0,False
49.0,Venomoth,Bug,Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0,1.0,False
123.0,Scyther,Bug,Flying,500.0,70.0,110.0,80.0,55.0,80.0,105.0,1.0,False
127.0,Pinsir,Bug,,500.0,65.0,125.0,100.0,55.0,70.0,85.0,1.0,False
165.0,Ledyba,Bug,Flying,265.0,40.0,20.0,30.0,40.0,80.0,55.0,2.0,False
166.0,Ledian,Bug,Flying,390.0,55.0,35.0,50.0,55.0,110.0,85.0,2.0,False
167.0,Spinarak,Bug,Poison,250.0,40.0,60.0,40.0,40.0,40.0,30.0,2.0,False
168.0,Ariados,Bug,Poison,390.0,70.0,90.0,70.0,60.0,60.0,40.0,2.0,False
193.0,Yanma,Bug,Flying,390.0,65.0,65.0,45.0,75.0,45.0,95.0,2.0,False
204.0,Pineco,Bug,,290.0,50.0,65.0,90.0,35.0,35.0,15.0,2.0,False
205.0,Forretress,Bug,Steel,465.0,75.0,90.0,140.0,60.0,60.0,40.0,2.0,False
212.0,Scizor,Bug,Steel,500.0,70.0,130.0,100.0,55.0,80.0,65.0,2.0,False
213.0,Shuckle,Bug,Rock,505.0,20.0,10.0,230.0,10.0,230.0,5.0,2.0,False
214.0,Heracross,Bug,Fighting,500.0,80.0,125.0,75.0,40.0,95.0,85.0,2.0,False
265.0,Wurmple,Bug,,195.0,45.0,45.0,35.0,20.0,30.0,20.0,3.0,False
266.0,Silcoon,Bug,,205.0,50.0,35.0,55.0,25.0,25.0,15.0,3.0,False
267.0,Beautifly,Bug,Flying,395.0,60.0,70.0,50.0,100.0,50.0,65.0,3.0,False
268.0,Cascoon,Bug,,205.0,50.0,35.0,55.0,25.0,25.0,15.0,3.0,False
269.0,Dustox,Bug,Poison,385.0,60.0,50.0,70.0,50.0,90.0,65.0,3.0,False
283.0,Surskit,Bug,Water,269.0,40.0,30.0,32.0,50.0,52.0,65.0,3.0,False
284.0,Masquerain,Bug,Flying,414.0,70.0,60.0,62.0,80.0,82.0,60.0,3.0,False
290.0,Nincada,Bug,Ground,266.0,31.0,45.0,90.0,30.0,30.0,40.0,3.0,False
291.0,Ninjask,Bug,Flying,456.0,61.0,90.0,45.0,50.0,50.0,160.0,3.0,False
292.0,Shedinja,Bug,Ghost,236.0,1.0,90.0,45.0,30.0,30.0,40.0,3.0,False
313.0,Volbeat,Bug,,400.0,65.0,73.0,55.0,47.0,75.0,85.0,3.0,False
314.0,Illumise,Bug,,400.0,65.0,47.0,55.0,73.0,75.0,85.0,3.0,False
347.0,Anorith,Rock,Bug,355.0,45.0,95.0,50.0,40.0,50.0,75.0,3.0,False
348.0,Armaldo,Rock,Bug,495.0,75.0,125.0,100.0,70.0,80.0,45.0,3.0,False
401.0,Kricketot,Bug,,194.0,37.0,25.0,41.0,25.0,41.0,25.0,4.0,False
402.0,Kricketune,Bug,,384.0,77.0,85.0,51.0,55.0,51.0,65.0,4.0,False
412.0,Burmy,Bug,,224.0,40.0,29.0,45.0,29.0,45.0,36.0,4.0,False
413.0,WormadamPlant Cloak,Bug,Grass,424.0,60.0,59.0,85.0,79.0,105.0,36.0,4.0,False
413.0,WormadamSandy Cloak,Bug,Ground,424.0,60.0,79.0,105.0,59.0,85.0,36.0,4.0,False
413.0,WormadamTrash Cloak,Bug,Steel,424.0,60.0,69.0,95.0,69.0,95.0,36.0,4.0,False
414.0,Mothim,Bug,Flying,424.0,70.0,94.0,50.0,94.0,50.0,66.0,4.0,False
415.0,Combee,Bug,Flying,244.0,30.0,30.0,42.0,30.0,42.0,70.0,4.0,False
416.0,Vespiquen,Bug,Flying,474.0,70.0,80.0,102.0,80.0,102.0,40.0,4.0,False
451.0,Skorupi,Poison,Bug,330.0,40.0,50.0,90.0,30.0,55.0,65.0,4.0,False
469.0,Yanmega,Bug,Flying,515.0,86.0,76.0,86.0,116.0,56.0,95.0,4.0,False
540.0,Sewaddle,Bug,Grass,310.0,45.0,53.0,70.0,40.0,60.0,42.0,5.0,False
541.0,Swadloon,Bug,Grass,380.0,55.0,63.0,90.0,50.0,80.0,42.0,5.0,False
542.0,Leavanny,Bug,Grass,500.0,75.0,103.0,80.0,70.0,80.0,92.0,5.0,False
543.0,Venipede,Bug,Poison,260.0,30.0,45.0,59.0,30.0,39.0,57.0,5.0,False
544.0,Whirlipede,Bug,Poison,360.0,40.0,55.0,99.0,40.0,79.0,47.0,5.0,False
545.0,Scolipede,Bug,Poison,485.0,60.0,100.0,89.0,55.0,69.0,112.0,5.0,False
557.0,Dwebble,Bug,Rock,325.0,50.0,65.0,85.0,35.0,35.0,55.0,5.0,False
558.0,Crustle,Bug,Rock,475.0,70.0,95.0,125.0,65.0,75.0,45.0,5.0,False
588.0,Karrablast,Bug,,315.0,50.0,75.0,45.0,40.0,45.0,60.0,5.0,False
589.0,Escavalier,Bug,Steel,495.0,70.0,135.0,105.0,60.0,105.0,20.0,5.0,False
595.0,Joltik,Bug,Electric,319.0,50.0,47.0,50.0,57.0,50.0,65.0,5.0,False
596.0,Galvantula,Bug,Electric,472.0,70.0,77.0,60.0,97.0,60.0,108.0,5.0,False
616.0,Shelmet,Bug,,305.0,50.0,40.0,85.0,40.0,65.0,25.0,5.0,False
617.0,Accelgor,Bug,,495.0,80.0,70.0,40.0,100.0,60.0,145.0,5.0,False
632.0,Durant,Bug,Steel,484.0,58.0,109.0,112.0,48.0,48.0,109.0,5.0,False
636.0,Larvesta,Bug,Fire,360.0,55.0,85.0,55.0,50.0,55.0,60.0,5.0,False
637.0,Volcarona,Bug,Fire,550.0,85.0,60.0,65.0,135.0,105.0,100.0,5.0,False
