#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
197.0,Umbreon,Dark,,525.0,95.0,65.0,110.0,60.0,130.0,65.0,2.0,False
198.0,Murkrow,Dark,Flying,405.0,60.0,85.0,42.0,85.0,42.0,91.0,2.0,False
215.0,Sneasel,Dark,Ice,430.0,55.0,95.0,55.0,35.0,75.0,115.0,2.0,False
228.0,Houndour,Dark,Fire,330.0,45.0,60.0,30.0,80.0,50.0,65.0,2.0,False
229.0,Houndoom,Dark,Fire,500.0,75.0,90.0,50.0,110.0,80.0,95.0,2.0,False
248.0,Tyranitar,Rock,Dark,600.0,100.0,134.0,110.0,95.0,100.0,61.0,2.0,False
261.0,Poochyena,Dark,,220.0,35.0,55.0,35.0,30.0,30.0,35.0,3.0,False
262.0,Mightyena,Dark,,420.0,70.0,90.0,70.0,60.0,60.0,70.0,3.0,False
274.0,Nuzleaf,Grass,Dark,340.0,70.0,70.0,40.0,60.0,40.0,60.0,3.0,False
275.0,Shiftry,Grass,Dark,480.0,90.0,100.0,60.0,90.0,60.0,80.0,3.0,False
302.0,Sableye,Dark,Ghost,380.0,50.0,75.0,75.0,65.0,65.0,50.0,3.0,False
318.0,Carvanha,Water,Dark,305.0,45.0,90.0,20.0,65.0,20.0,65.0,3.0,False
319.0,Sharpedo,Water,Dark,460.0,70.0,120.0,40.0,95.0,40.0,95.0,3.0,False
332.0,Cacturne,Grass,Dark,475.0,70.0,115.0,60.0,115.0,60.0,55.0,3.0,False
342.0,Crawdaunt,Water,Dark,468.0,63.0,120.0,85.0,90.0,55.0,55.0,3.0,False
359.0,Absol,Dark,,465.0,65.0,130.0,60.0,75.0,60.0,75.0,3.0,False
430.0,Honchkrow,Dark,Flying,505.0,100.0,125.0,52.0,105.0,52.0,71.0,4.0,False
434.0,Stunky,Poison,Dark,329.0,63.0,63.0,47.0,41.0,41.0,74.0,4.0,False
435.0,Skuntank,Poison,Dark,479.0,103.0,93.0,67.0,71.0,61.0,84.0,4.0,False
442.0,Spiritomb,Ghost,Dark,485.0,50.0,92.0,108.0,92.0,108.0,35.0,4.0,False
452.0,Drapion,Poison,Dark,500.0,70.0,90.0,110.0,60.0,75.0,95.0,4.0,False
461.0,Weavile,Dark,Ice,510.0,70.0,120.0,65.0,45.0,85.0,125.0,4.0,False
491.0,Darkrai,Dark,,600.0,70.0,90.0,90.0,135.0,90.0,125.0,4.0,True
509.0,Purrloin,Dark,,281.0,41.0,50.0,37.0,50.0,37.0,66.0,5.0,False
510.0,Liepard,Dark,,446.0,64.0,88.0,50.0,88.0,50.0,106.0,5.0,False
551.0,Sandile,Ground,Dark,292.0,50.0,72.0,35.0,35.0,35.0,65.0,5.0,False
552.0,Krokorok,Ground,Dark,351.0,60.0,82.0,45.0,45.0,45.0,74.0,5.0,False
553.0,Krookodile,Ground,Dark,519.0,95.0,117.0,80.0,65.0,70.0,92.0,5.0,False
559.0,Scraggy,Dark,Fighting,348.0,50.0,75.0,70.0,35.0,70.0,48.0,5.0,False
560.0,Scrafty,Dark,Fighting,488.0,65.0,90.0,115.0,45.0,115.0,58.0,5.0,False
570.0,Zorua,Dark,,330.0,40.0,65.0,40.0,80.0,40.0,65.0,5.0,False
571.0,Zoroark,Dark,,510.0,60.0,105.0,60.0,120.0,60.0,105.0,5.0,False
624.0,Pawniard,Dark,Steel,340.0,45.0,85.0,70.0,40.0,40.0,60.0,5.0,False
625.0,Bisharp,Dark,Steel,490.0,65.0,125.0,100.0,60.0,70.0,70.0,5.0,False
629.0,Vullaby,Dark,Flying,370.0,70.0,55.0,75.0,45.0,65.0,60.0,5.0,False
630.0,Mandibuzz,Dark,Flying,510.0,110.0,65.0,105.0,55.0,95.0,80.0,5.0,False
633.0,Deino,Dark,Dragon,300.0,52.0,65.0,50.0,45.0,50.0,38.0,5.0,False
634.0,Zweilous,Dark,Dragon,420.0,72.0,85.0,70.0,65.0,70.0,58.0,5.0,False
635.0,Hydreigon,Dark,Dragon,600.0,92.0,105.0,90.0,125.0,90.0,98.0,5.0,False
658.0,Greninja,Water,Dark,530.0,72.0,95.0,67.0,103.0,71.0,122.0,6.0,False
675.0,Pangoro,Fighting,Dark,495.0,95.0,124.0,78.0,69.0,71.0,58.0,6.0,False
686.0,Inkay,Dark,Psychic,288.0,53.0,54.0,53.0,37.0,46.0,45.0,6.0,False
687.0,Malamar,Dark,Psychic,482.0,86.0,92.0,88.0,68.0,75.0,73.0,6.0,False
717.0,Yveltal,Dark,Flying,680.0,126.0,131.0,95.0,131.0,98.0,99.0,6.0,True
720.0,HoopaHoopa Unbound,Psychic,Dark,680.0,80.0,160.0,60.0,170.0,130.0,80.0,6.0,True
,,,,443.5777777777778,69.4888888888889,92.26666666666667,66.97777777777777,74.11111111111111,66.04444444444445,74.68888888888888,,
