#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
35.0,Clefairy,Fairy,,323.0,70.0,45.0,48.0,60.0,65.0,35.0,1.0,False
36.0,Clefable,Fairy,,483.0,95.0,70.0,73.0,95.0,90.0,60.0,1.0,False
39.0,Jigglypuff,Normal,Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0,1.0,False
40.0,Wigglytuff,Normal,Fairy,435.0,140.0,70.0,45.0,85.0,50.0,45.0,1.0,False
122.0,Mr. Mime,Psychic,Fairy,460.0,40.0,45.0,65.0,100.0,120.0,90.0,1.0,False
173.0,Cleffa,Fairy,,218.0,50.0,25.0,28.0,45.0,55.0,15.0,2.0,False
174.0,Igglybuff,Normal,Fairy,210.0,90.0,30.0,15.0,40.0,20.0,15.0,2.0,False
175.0,Togepi,Fairy,,245.0,35.0,20.0,65.0,40.0,65.0,20.0,2.0,False
176.0,Togetic,Fairy,Flying,405.0,55.0,40.0,85.0,80.0,105.0,40.0,2.0,False
183.0,Marill,Water,Fairy,250.0,70.0,20.0,50.0,20.0,50.0,40.0,2.0,False
184.0,Azumarill,Water,Fairy,420.0,100.0,50.0,80.0,60.0,80.0,50.0,2.0,False
209.0,Snubbull,Fairy,,300.0,60.0,80.0,50.0,40.0,40.0,30.0,2.0,False
210.0,Granbull,Fairy,,450.0,90.0,120.0,75.0,60.0,60.0,45.0,2.0,False
280.0,Ralts,Psychic,Fairy,198.0,28.0,25.0,25.0,45.0,35.0,40.0,3.0,False
281.0,Kirlia,Psychic,Fairy,278.0,38.0,35.0,35.0,65.0,55.0,50.0,3.0,False
282.0,Gardevoir,Psychic,Fairy,518.0,68.0,65.0,65.0,125.0,115.0,80.0,3.0,False
298.0,Azurill,Normal,Fairy,190.0,50.0,20.0,40.0,20.0,40.0,20.0,3.0,False
303.0,Mawile,Steel,Fairy,380.0,50.0,85.0,85.0,55.0,55.0,50.0,3.0,False
439.0,Mime Jr.,Psychic,Fairy,310.0,20.0,25.0,45.0,70.0,90.0,60.0,4.0,False
468.0,Togekiss,Fairy,Flying,545.0,85.0,50.0,95.0,120.0,115.0,80.0,4.0,False
546.0,Cottonee,Grass,Fairy,280.0,40.0,27.0,60.0,37.0,50.0,66.0,5.0,False
547.0,Whimsicott,Grass,Fairy,480.0,60.0,67.0,85.0,77.0,75.0,116.0,5.0,False
669.0,Flabébé,Fairy,,303.0,44.0,38.0,39.0,61.0,79.0,42.0,6.0,False
670.0,Floette,Fairy,,371.0,54.0,45.0,47.0,75.0,98.0,52.0,6.0,False
671.0,Florges,Fairy,,552.0,78.0,65.0,68.0,112.0,154.0,75.0,6.0,False
682.0,Spritzee,Fairy,,341.0,78.0,52.0,60.0,63.0,65.0,23.0,6.0,False
683.0,Aromatisse,Fairy,,462.0,101.0,72.0,72.0,99.0,89.0,29.0,6.0,False
684.0,Swirlix,Fairy,,341.0,62.0,48.0,66.0,59.0,57.0,49.0,6.0,False
685.0,Slurpuff,Fairy,,480.0,82.0,80.0,86.0,85.0,75.0,72.0,6.0,False
700.0,Sylveon,Fairy,,525.0,95.0,65.0,65.0,110.0,130.0,60.0,6.0,False
702.0,Dedenne,Electric,Fairy,431.0,67.0,58.0,57.0,81.0,67.0,101.0,6.0,False
703.0,Carbink,Rock,Fairy,500.0,50.0,50.0,150.0,50.0,150.0,50.0,6.0,False
707.0,Klefki,Steel,Fairy,470.0,57.0,80.0,91.0,80.0,87.0,75.0,6.0,False
716.0,Xerneas,Fairy,,680.0,126.0,131.0,95.0,131.0,98.0,99.0,6.0,True
719.0,Diancie,Rock,Fairy,600.0,50.0,100.0,150.0,100.0,150.0,50.0,6.0,True
,,,,391.54285714285714,68.37142857142857,55.51428571428571,65.14285714285714,71.14285714285714,78.68571428571428,52.68571428571428,,
