#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
4.0,Charmander,Fire,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,1.0,False
5.0,Charmeleon,Fire,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,1.0,False
6.0,Charizard,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,1.0,False
37.0,Vulpix,Fire,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,1.0,False
38.0,Ninetales,Fire,,505.0,73.0,76.0,75.0,81.0,100.0,100.0,1.0,False
58.0,Growlithe,Fire,,350.0,55.0,70.0,45.0,70.0,50.0,60.0,1.0,False
59.0,Arcanine,Fire,,555.0,90.0,110.0,80.0,100.0,80.0,95.0,1.0,False
77.0,Ponyta,Fire,,410.0,50.0,85.0,55.0,65.0,65.0,90.0,1.0,False
78.0,Rapidash,Fire,,500.0,65.0,100.0,70.0,80.0,80.0,105.0,1.0,False
126.0,Magmar,Fire,,495.0,65.0,95.0,57.0,100.0,85.0,93.0,1.0,False
136.0,Flareon,Fire,,525.0,65.0,130.0,60.0,95.0,110.0,65.0,1.0,False
146.0,Moltres,Fire,Flying,580.0,90.0,100.0,90.0,125.0,85.0,90.0,1.0,True
155.0,Cyndaquil,Fire,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,2.0,False
156.0,Quilava,Fire,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,2.0,False
157.0,Typhlosion,Fire,,534.0,78.0,84.0,78.0,109.0,85.0,100.0,2.0,False
218.0,Slugma,Fire,,250.0,40.0,40.0,40.0,70.0,40.0,20.0,2.0,False
219.0,Magcargo,Fire,Rock,410.0,50.0,50.0,120.0,80.0,80.0,30.0,2.0,False
228.0,Houndour,Dark,Fire,330.0,45.0,60.0,30.0,80.0,50.0,65.0,2.0,False
229.0,Houndoom,Dark,Fire,500.0,75.0,90.0,50.0,110.0,80.0,95.0,2.0,False
240.0,Magby,Fire,,365.0,45.0,75.0,37.0,70.0,55.0,83.0,2.0,False
244.0,Entei,Fire,,580.0,115.0,115.0,85.0,90.0,75.0,100.0,2.0,True
250.0,Ho-oh,Fire,Flying,680.0,106.0,130.0,90.0,110.0,154.0,90.0,2.0,True
255.0,Torchic,Fire,,310.0,45.0,60.0,40.0,70.0,50.0,45.0,3.0,False
256.0,Combusken,Fire,Fighting,405.0,60.0,85.0,60.0,85.0,60.0,55.0,3.0,False
257.0,Blaziken,Fire,Fighting,530.0,80.0,120.0,70.0,110.0,70.0,80.0,3.0,False
322.0,Numel,Fire,Ground,305.0,60.0,60.0,40.0,65.0,45.0,35.0,3.0,False
323.0,Camerupt,Fire,Ground,460.0,70.0,100.0,70.0,105.0,75.0,40.0,3.0,False
