#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1.0,Bulbasaur,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,1.0,False
2.0,Ivysaur,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,1.0,False
3.0,Venusaur,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,1.0,False
43.0,Oddish,Grass,Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0,1.0,False
44.0,Gloom,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,1.0,False
45.0,Vileplume,Grass,Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0,1.0,False
46.0,Paras,Bug,Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0,1.0,False
47.0,Parasect,Bug,Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0,1.0,False
69.0,Bellsprout,Grass,Poison,300.0,50.0,75.0,35.0,70.0,30.0,40.0,1.0,False
70.0,Weepinbell,Grass,Poison,390.0,65.0,90.0,50.0,85.0,45.0,55.0,1.0,False
71.0,Victreebel,Grass,Poison,490.0,80.0,105.0,65.0,100.0,70.0,70.0,1.0,False
102.0,Exeggcute,Grass,Psychic,325.0,60.0,40.0,80.0,60.0,45.0,40.0,1.0,False
103.0,Exeggutor,Grass,Psychic,520.0,95.0,95.0,85.0,125.0,65.0,55.0,1.0,False
114.0,Tangela,Grass,,435.0,65.0,55.0,115.0,100.0,40.0,60.0,1.0,False
152.0,Chikorita,Grass,,318.0,45.0,49.0,65.0,49.0,65.0,45.0,2.0,False
153.0,Bayleef,Grass,,405.0,60.0,62.0,80.0,63.0,80.0,60.0,2.0,False
182.0,Bellossom,Grass,,490.0,75.0,80.0,95.0,90.0,100.0,50.0,2.0,False
187.0,Hoppip,Grass,Flying,250.0,35.0,35.0,40.0,35.0,55.0,50.0,2.0,False
188.0,Skiploom,Grass,Flying,340.0,55.0,45.0,50.0,45.0,65.0,80.0,2.0,False
189.0,Jumpluff,Grass,Flying,460.0,75.0,55.0,70.0,55.0,95.0,110.0,2.0,False
191.0,Sunkern,Grass,,180.0,30.0,30.0,30.0,30.0,30.0,30.0,2.0,False
192.0,Sunflora,Grass,,425.0,75.0,75.0,55.0,105.0,85.0,30.0,2.0,False
251.0,Celebi,Psychic,Grass,600.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,False
252.0,Treecko,Grass,,310.0,40.0,45.0,35.0,65.0,55.0,70.0,3.0,False
253.0,Grovyle,Grass,,405.0,50.0,65.0,45.0,85.0,65.0,95.0,3.0,False
254.0,Sceptile,Grass,,530.0,70.0,85.0,65.0,105.0,85.0,120.0,3.0,False
270.0,Lotad,Water,Grass,220.0,40.0,30.0,30.0,40.0,50.0,30.0,3.0,False
271.0,Lombre,Water,Grass,340.0,60.0,50.0,50.0,60.0,70.0,50.0,3.0,False
272.0,Ludicolo,Water,Grass,480.0,80.0,70.0,70.0,90.0,100.0,70.0,3.0,False
273.0,Seedot,Grass,,220.0,40.0,40.0,50.0,30.0,30.0,30.0,3.0,False
274.0,Nuzleaf,Grass,Dark,340.0,70.0,70.0,40.0,60.0,40.0,60.0,3.0,False
275.0,Shiftry,Grass,Dark,480.0,90.0,100.0,60.0,90.0,60.0,80.0,3.0,False
285.0,Shroomish,Grass,,295.0,60.0,40.0,60.0,40.0,60.0,35.0,3.0,False
286.0,Breloom,Grass,Fighting,460.0,60.0,130.0,80.0,60.0,60.0,70.0,3.0,False
315.0,Roselia,Grass,Poison,400.0,50.0,60.0,45.0,100.0,80.0,65.0,3.0,False
331.0,Cacnea,Grass,,335.0,50.0,85.0,40.0,85.0,40.0,35.0,3.0,False
332.0,Cacturne,Grass,Dark,475.0,70.0,115.0,60.0,115.0,60.0,55.0,3.0,False
345.0,Lileep,Rock,Grass,355.0,66.0,41.0,77.0,61.0,87.0,23.0,3.0,False
346.0,Cradily,Rock,Grass,495.0,86.0,81.0,97.0,81.0,107.0,43.0,3.0,False
357.0,Tropius,Grass,Flying,460.0,99.0,68.0,83.0,72.0,87.0,51.0,3.0,False
387.0,Turtwig,Grass,,318.0,55.0,68.0,64.0,45.0,55.0,31.0,4.0,False
388.0,Grotle,Grass,,405.0,75.0,89.0,85.0,55.0,65.0,36.0,4.0,False
389.0,Torterra,Grass,Ground,525.0,95.0,109.0,105.0,75.0,85.0,56.0,4.0,False
406.0,Budew,Grass,Poison,280.0,40.0,30.0,35.0,50.0,70.0,55.0,4.0,False
407.0,Roserade,Grass,Poison,515.0,60.0,70.0,65.0,125.0,105.0,90.0,4.0,False
413.0,WormadamPlant Cloak,Bug,Grass,424.0,60.0,59.0,85.0,79.0,105.0,36.0,4.0,False
420.0,Cherubi,Grass,,275.0,45.0,35.0,45.0,62.0,53.0,35.0,4.0,False
421.0,Cherrim,Grass,,450.0,70.0,60.0,70.0,87.0,78.0,85.0,4.0,False
455.0,Carnivine,Grass,,454.0,74.0,100.0,72.0,90.0,72.0,46.0,4.0,False
459.0,Snover,Grass,Ice,334.0,60.0,62.0,50.0,62.0,60.0,40.0,4.0,False
460.0,Abomasnow,Grass,Ice,494.0,90.0,92.0,75.0,92.0,85.0,60.0,4.0,False
465.0,Tangrowth,Grass,,535.0,100.0,100.0,125.0,110.0,50.0,50.0,4.0,False
470.0,Leafeon,Grass,,525.0,65.0,110.0,130.0,60.0,65.0,95.0,4.0,False
479.0,RotomMow Rotom,Electric,Grass,520.0,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False
492.0,ShayminLand Forme,Grass,,600.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,True
492.0,ShayminSky Forme,Grass,Flying,600.0,100.0,103.0,75.0,120.0,75.0,127.0,4.0,True
495.0,Snivy,Grass,,308.0,45.0,45.0,55.0,45.0,55.0,63.0,5.0,False
496.0,Servine,Grass,,413.0,60.0,60.0,75.0,60.0,75.0,83.0,5.0,False
497.0,Serperior,Grass,,528.0,75.0,75.0,95.0,75.0,95.0,113.0,5.0,False
511.0,Pansage,Grass,,316.0,50.0,53.0,48.0,53.0,48.0,64.0,5.0,False
512.0,Simisage,Grass,,498.0,75.0,98.0,63.0,98.0,63.0,101.0,5.0,False
540.0,Sewaddle,Bug,Grass,310.0,45.0,53.0,70.0,40.0,60.0,42.0,5.0,False
541.0,Swadloon,Bug,Grass,380.0,55.0,63.0,90.0,50.0,80.0,42.0,5.0,False
542.0,Leavanny,Bug,Grass,500.0,75.0,103.0,80.0,70.0,80.0,92.0,5.0,False
546.0,Cottonee,Grass,Fairy,280.0,40.0,27.0,60.0,37.0,50.0,66.0,5.0,False
547.0,Whimsicott,Grass,Fairy,480.0,60.0,67.0,85.0,77.0,75.0,116.0,5.0,False
548.0,Petilil,Grass,,280.0,45.0,35.0,50.0,70.0,50.0,30.0,5.0,False
549.0,Lilligant,Grass,,480.0,70.0,60.0,75.0,110.0,75.0,90.0,5.0,False
556.0,Maractus,Grass,,461.0,75.0,86.0,67.0,106.0,67.0,60.0,5.0,False
585.0,Deerling,Normal,Grass,335.0,60.0,60.0,50.0,40.0,50.0,75.0,5.0,False
586.0,Sawsbuck,Normal,Grass,475.0,80.0,100.0,70.0,60.0,70.0,95.0,5.0,False
590.0,Foongus,Grass,Poison,294.0,69.0,55.0,45.0,55.0,55.0,15.0,5.0,False
591.0,Amoonguss,Grass,Poison,464.0,114.0,85.0,70.0,85.0,80.0,30.0,5.0,False
597.0,Ferroseed,Grass,Steel,305.0,44.0,50.0,91.0,24.0,86.0,10.0,5.0,False
598.0,Ferrothorn,Grass,Steel,489.0,74.0,94.0,131.0,54.0,116.0,20.0,5.0,False
640.0,Virizion,Grass,Fighting,580.0,91.0,90.0,72.0,90.0,129.0,108.0,5.0,True
650.0,Chespin,Grass,,313.0,56.0,61.0,65.0,48.0,45.0,38.0,6.0,False
651.0,Quilladin,Grass,,405.0,61.0,78.0,95.0,56.0,58.0,57.0,6.0,False
652.0,Chesnaught,Grass,Fighting,530.0,88.0,107.0,122.0,74.0,75.0,64.0,6.0,False
672.0,Skiddo,Grass,,350.0,66.0,65.0,48.0,62.0,57.0,52.0,6.0,False
673.0,Gogoat,Grass,,531.0,123.0,100.0,62.0,97.0,81.0,68.0,6.0,False
708.0,Phantump,Ghost,Grass,309.0,43.0,70.0,48.0,50.0,60.0,38.0,6.0,False
709.0,Trevenant,Ghost,Grass,474.0,85.0,110.0,76.0,65.0,82.0,56.0,6.0,False
