#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
87.0,Dewgong,Water,Ice,475.0,90.0,70.0,80.0,70.0,95.0,70.0,1.0,False
91.0,Cloyster,Water,Ice,525.0,50.0,95.0,180.0,85.0,45.0,70.0,1.0,False
124.0,Jynx,Ice,Psychic,455.0,65.0,50.0,35.0,115.0,95.0,95.0,1.0,False
131.0,Lapras,Water,Ice,535.0,130.0,85.0,80.0,85.0,95.0,60.0,1.0,False
144.0,Articuno,Ice,Flying,580.0,90.0,85.0,100.0,95.0,125.0,85.0,1.0,True
215.0,Sneasel,Dark,Ice,430.0,55.0,95.0,55.0,35.0,75.0,115.0,2.0,False
220.0,Swinub,Ice,Ground,250.0,50.0,50.0,40.0,30.0,30.0,50.0,2.0,False
221.0,Piloswine,Ice,Ground,450.0,100.0,100.0,80.0,60.0,60.0,50.0,2.0,False
225.0,Delibird,Ice,Flying,330.0,45.0,55.0,45.0,65.0,45.0,75.0,2.0,False
238.0,Smoochum,Ice,Psychic,305.0,45.0,30.0,15.0,85.0,65.0,65.0,2.0,False
361.0,Snorunt,Ice,,300.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,False
362.0,Glalie,Ice,,480.0,80.0,80.0,80.0,80.0,80.0,80.0,3.0,False
363.0,Spheal,Ice,Water,290.0,70.0,40.0,50.0,55.0,50.0,25.0,3.0,False
364.0,Sealeo,Ice,Water,410.0,90.0,60.0,70.0,75.0,70.0,45.0,3.0,False
365.0,Walrein,Ice,Water,530.0,110.0,80.0,90.0,95.0,90.0,65.0,3.0,False
378.0,Regice,Ice,,580.0,80.0,50.0,100.0,100.0,200.0,50.0,3.0,True
459.0,Snover,Grass,Ice,334.0,60.0,62.0,50.0,62.0,60.0,40.0,4.0,False
460.0,Abomasnow,Grass,Ice,494.0,90.0,92.0,75.0,92.0,85.0,60.0,4.0,False
461.0,Weavile,Dark,Ice,510.0,70.0,120.0,65.0,45.0,85.0,125.0,4.0,False
471.0,Glaceon,Ice,,525.0,65.0,60.0,110.0,130.0,95.0,65.0,4.0,False
473.0,Mamoswine,Ice,Ground,530.0,110.0,130.0,80.0,70.0,60.0,80.0,4.0,False
478.0,Froslass,Ice,Ghost,480.0,70.0,80.0,70.0,80.0,70.0,110.0,4.0,False
479.0,RotomFrost Rotom,Electric,Ice,520.0,50.0,65.0,107.0,105.0,107.0,86.0,4.0,False
582.0,Vanillite,Ice,,305.0,36.0,50.0,50.0,65.0,60.0,44.0,5.0,False
583.0,Vanillish,Ice,,395.0,51.0,65.0,65.0,80.0,75.0,59.0,5.0,False
584.0,Vanilluxe,Ice,,535.0,71.0,95.0,85.0,110.0,95.0,79.0,5.0,False
613.0,Cubchoo,Ice,,305.0,55.0,70.0,40.0,60.0,40.0,40.0,5.0,False
614.0,Beartic,Ice,,485.0,95.0,110.0,80.0,70.0,80.0,50.0,5.0,False
615.0,Cryogonal,Ice,,485.0,70.0,50.0,30.0,95.0,135.0,105.0,5.0,False
646.0,Kyurem,Dragon,Ice,660.0,125.0,130.0,90.0,130.0,90.0,95.0,5.0,True
646.0,KyuremBlack Kyurem,Dragon,Ice,700.0,125.0,170.0,100.0,120.0,90.0,95.0,5.0,True
646.0,KyuremWhite Kyurem,Dragon,Ice,700.0,125.0,120.0,90.0,170.0,100.0,95.0,5.0,True
698.0,Amaura,Rock,Ice,362.0,77.0,59.0,50.0,67.0,63.0,46.0,6.0,False
699.0,Aurorus,Rock,Ice,521.0,123.0,77.0,72.0,99.0,92.0,58.0,6.0,False
712.0,Bergmite,Ice,,304.0,55.0,69.0,85.0,32.0,35.0,28.0,6.0,False
713.0,Avalugg,Ice,,514.0,95.0,117.0,184.0,44.0,46.0,28.0,6.0,False
,,,,460.80555555555554,78.27777777777777,79.61111111111111,75.77777777777777,80.72222222222223,78.69444444444444,67.72222222222223,,
