#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1.0,Bulbasaur,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,1.0,False
2.0,Ivysaur,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,1.0,False
3.0,Venusaur,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,1.0,False
13.0,Weedle,Bug,Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0,1.0,False
14.0,Kakuna,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,1.0,False
15.0,Beedrill,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,1.0,False
23.0,Ekans,Poison,,288.0,35.0,60.0,44.0,40.0,54.0,55.0,1.0,False
24.0,Arbok,Poison,,438.0,60.0,85.0,69.0,65.0,79.0,80.0,1.0,False
29.0,Nidoran♀,Poison,,275.0,55.0,47.0,52.0,40.0,40.0,41.0,1.0,False
30.0,Nidorina,Poison,,365.0,70.0,62.0,67.0,55.0,55.0,56.0,1.0,False
31.0,Nidoqueen,Poison,Ground,505.0,90.0,92.0,87.0,75.0,85.0,76.0,1.0,False
32.0,Nidoran♂,Poison,,273.0,46.0,57.0,40.0,40.0,40.0,50.0,1.0,False
33.0,Nidorino,Poison,,365.0,61.0,72.0,57.0,55.0,55.0,65.0,1.0,False
34.0,Nidoking,Poison,Ground,505.0,81.0,102.0,77.0,85.0,75.0,85.0,1.0,False
41.0,Zubat,Poison,Flying,245.0,40.0,45.0,35.0,30.0,40.0,55.0,1.0,False
42.0,Golbat,Poison,Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0,1.0,False
43.0,Oddish,Grass,Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0,1.0,False
44.0,Gloom,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,1.0,False
45.0,Vileplume,Grass,Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0,1.0,False
48.0,Venonat,Bug,Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0,1.0,False
49.0,Venomoth,Bug,Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0,1.0,False
69.0,Bellsprout,Grass,Poison,300.0,50.0,75.0,35.0,70.0,30.0,40.0,1.0,False
70.0,Weepinbell,Grass,Poison,390.0,65.0,90.0,50.0,85.0,45.0,55.0,1.0,False
71.0,Victreebel,Grass,Poison,490.0,80.0,105.0,65.0,100.0,70.0,70.0,1.0,False
72.0,Tentacool,Water,Poison,335.0,40.0,40.0,35.0,50.0,100.0,70.0,1.0,False
73.0,Tentacruel,Water,Poison,515.0,80.0,70.0,65.0,80.0,120.0,100.0,1.0,False
88.0,Grimer,Poison,,325.0,80.0,80.0,50.0,40.0,50.0,25.0,1.0,False
89.0,Muk,Poison,,500.0,105.0,105.0,75.0,65.0,100.0,50.0,1.0,False
92.0,Gastly,Ghost,Poison,310.0,30.0,35.0,30.0,100.0,35.0,80.0,1.0,False
93.0,Haunter,Ghost,Poison,405.0,45.0,50.0,45.0,115.0,55.0,95.0,1.0,False
94.0,Gengar,Ghost,Poison,500.0,60.0,65.0,60.0,130.0,75.0,110.0,1.0,False
109.0,Koffing,Poison,,340.0,40.0,65.0,95.0,60.0,45.0,35.0,1.0,False
110.0,Weezing,Poison,,490.0,65.0,90.0,120.0,85.0,70.0,60.0,1.0,False
167.0,Spinarak,Bug,Poison,250.0,40.0,60.0,40.0,40.0,40.0,30.0,2.0,False
168.0,Ariados,Bug,Poison,390.0,70.0,90.0,70.0,60.0,60.0,40.0,2.0,False
169.0,Crobat,Poison,Flying,535.0,85.0,90.0,80.0,70.0,80.0,130.0,2.0,False
211.0,Qwilfish,Water,Poison,430.0,65.0,95.0,75.0,55.0,55.0,85.0,2.0,False
269.0,Dustox,Bug,Poison,385.0,60.0,50.0,70.0,50.0,90.0,65.0,3.0,False
315.0,Roselia,Grass,Poison,400.0,50.0,60.0,45.0,100.0,80.0,65.0,3.0,False
316.0,Gulpin,Poison,,302.0,70.0,43.0,53.0,43.0,53.0,40.0,3.0,False
317.0,Swalot,Poison,,467.0,100.0,73.0,83.0,73.0,83.0,55.0,3.0,False
336.0,Seviper,Poison,,458.0,73.0,100.0,60.0,100.0,60.0,65.0,3.0,False
406.0,Budew,Grass,Poison,280.0,40.0,30.0,35.0,50.0,70.0,55.0,4.0,False
407.0,Roserade,Grass,Poison,515.0,60.0,70.0,65.0,125.0,105.0,90.0,4.0,False
434.0,Stunky,Poison,Dark,329.0,63.0,63.0,47.0,41.0,41.0,74.0,4.0,False
435.0,Skuntank,Poison,Dark,479.0,103.0,93.0,67.0,71.0,61.0,84.0,4.0,False
451.0,Skorupi,Poison,Bug,330.0,40.0,50.0,90.0,30.0,55.0,65.0,4.0,False
452.0,Drapion,Poison,Dark,500.0,70.0,90.0,110.0,60.0,75.0,95.0,4.0,False
453.0,Croagunk,Poison,Fighting,300.0,48.0,61.0,40.0,61.0,40.0,50.0,4.0,False
454.0,Toxicroak,Poison,Fighting,490.0,83.0,106.0,65.0,86.0,65.0,85.0,4.0,False
543.0,Venipede,Bug,Poison,260.0,30.0,45.0,59.0,30.0,39.0,57.0,5.0,False
544.0,Whirlipede,Bug,Poison,360.0,40.0,55.0,99.0,40.0,79.0,47.0,5.0,False
545.0,Scolipede,Bug,Poison,485.0,60.0,100.0,89.0,55.0,69.0,112.0,5.0,False
568.0,Trubbish,Poison,,329.0,50.0,50.0,62.0,40.0,62.0,65.0,5.0,False
569.0,Garbodor,Poison,,474.0,80.0,95.0,82.0,60.0,82.0,75.0,5.0,False
590.0,Foongus,Grass,Poison,294.0,69.0,55.0,45.0,55.0,55.0,15.0,5.0,False
591.0,Amoonguss,Grass,Poison,464.0,114.0,85.0,70.0,85.0,80.0,30.0,5.0,False
690.0,Skrelp,Poison,Water,320.0,50.0,60.0,60.0,60.0,60.0,30.0,6.0,False
691.0,Dragalge,Poison,Dragon,494.0,65.0,75.0,90.0,97.0,123.0,44.0,6.0,False
,,,,388.76271186440675,62.30508474576271,69.05084745762711,62.86440677966102,66.13559322033899,65.84745762711864,62.559322033898304,,
